RPM,WOB,ROP,Depth,Claystone,Sandstone,Limestone,TRQ
149.0,2.730172475,40.0626072,2121.50767,1.0,0.0,0.0,3.66070846
159.0,0.6123497,14.505432,2683.373856,1.0,0.0,0.0,4.270826537
159.0,3.315760225,18.8976,2729.639448,1.0,0.0,0.0,5.369039075
150.0,2.045247996,29.917644,2090.409912,1.0,0.0,0.0,3.050590384
150.0,2.720647035,42.036492,2146.469875,1.0,0.0,0.0,3.904755691
149.0,3.101211034,29.9139864,2614.397006,1.0,0.0,0.0,7.443440536
100.0,5.574650227,28.13304,2774.612688,1.0,0.0,0.0,7.931534998
160.0,6.012366864,9.1449144,2898.570068,0.0,1.0,0.0,5.002968229
150.0,1.819812588,25.0969272,2039.060059,1.0,0.0,0.0,2.806543153
159.0,5.338782195,16.233648,2724.54624,1.0,0.0,0.0,4.880944614
160.0,5.125593781,34.125408,2761.820232,1.0,0.0,0.0,6.83332246
159.0,2.422183256,18.233136,2705.72484,1.0,0.0,0.0,6.711298844
160.0,3.315760225,21.872448,2752.042248,1.0,0.0,0.0,5.24701546
151.0,0.157396552,30.1669704,2464.966063,1.0,0.0,0.0,3.172613999
160.0,5.125593781,31.720536,2791.367544,0.0,1.0,0.0,10.61605454
160.0,5.125593781,18.083784,2750.411568,1.0,0.0,0.0,4.636897383
149.0,0.163746846,13.2956808,2318.679132,0.0,0.0,1.0,3.538684845
159.0,1.51953444,29.891736,2690.795736,1.0,0.0,0.0,5.979157152
160.0,3.975737123,26.1009384,2878.830078,0.0,1.0,0.0,9.395818382
159.0,2.72155422,19.808952,2653.905792,1.0,0.0,0.0,5.613086306
150.0,3.10620055,25.5867408,2539.046789,1.0,0.0,0.0,6.101180767
159.0,3.855535145,19.772376,2660.455944,1.0,0.0,0.0,6.711298844
160.0,3.298070122,26.2124952,2867.773894,0.0,1.0,0.0,8.785700305
160.0,5.121057857,24.036528,2790.440952,0.0,1.0,0.0,10.61605454
149.0,0.839145885,29.9270928,2418.600098,1.0,0.0,0.0,2.806543153
159.0,1.51953444,15.288768,2721.412896,1.0,0.0,0.0,5.613086306
160.0,2.630835746,6.894576,2745.921864,1.0,0.0,0.0,3.782732076
159.0,0.154221406,21.302472,2699.8422,1.0,0.0,0.0,4.392850153
159.0,1.51953444,22.213824,2700.866328,1.0,0.0,0.0,5.979157152
159.0,3.17514659,17.117568,2643.63708,1.0,0.0,0.0,6.467251614
149.0,0.613710477,30.156912,2479.743986,1.0,0.0,0.0,3.41666123
159.0,1.061406146,28.68168,2703.143184,1.0,0.0,0.0,5.369039075
159.0,0.90718474,19.687032,2680.725144,1.0,0.0,0.0,4.514873768
159.0,0.680388555,20.107656,2675.537448,1.0,0.0,0.0,4.026779307
160.0,3.075356269,30.156912,2834.188896,0.0,1.0,0.0,8.419629459
160.0,6.708631152,33.256728,2769.129336,1.0,0.0,0.0,7.931534998
159.0,3.17514659,19.824192,2655.064032,1.0,0.0,0.0,6.223204383
160.0,2.848560084,32.56788,2828.111184,0.0,1.0,0.0,6.711298844
150.0,7.646206581,39.3554712,2392.662322,1.0,0.0,0.0,8.66367669
